Label,String
RepairNaniteCloud_Dec,"VTE Specialized Nanotech var. Repair.[BR][BR]A housing unit that produces a dense grouping of nanite drones that will repair structural damage. When an ally within range is damaged in combat, Repair Nanites will be released to repair the damage and restore some of the ship's [HS=HS_HitPoints]Hit Points[/HS]."
Reflector_Name,Reflector
Reflector_Dec,Reduces the damage done by [ICON=BeamAttackIcon] Beam Attacks.
EWeb_Name,E-Web
EWeb_Dec,Reduces the damage done by [ICON=KineticAttackIcon] Kinetic Attacks.
AssaultShuttle_Name,Assault Shuttle
AssaultShuttles_Name,Assault Shuttles
AssaultShuttles_Dec,"Short-range transport shuttles that allow Assault Marines to board hostile vessels. Assault Marines specialize in close-quarters combat associated with battles on ships. When Assault Marines successfully board and wipe out a ship, they claim the ship for the civilization, changing its ownership."
MarineModule_Name,Marine Berthing
MarineModule_Dec,"Berthing units give housing and space to Defense Marines, which helps resist the boarding actions of hostile units. Defense Marines make it much harder for enemies to take over a ship."
NuclearWarhead_Name,Nuclear Warhead
NuclearWarhead_Dec,"Celestitech E-53 ""Atomic Devastator"" Nuclear Warhead.[BR][BR]A missile-propelled warhead that delivers a nuclear payload with a distinctive damage profile."
SuperHeatedPlasmaLauncher_Name,Super-Heated Plasma Launcher
SuperHeatedPlasmaLauncher_Dec,Westinghouse M1K Crude Plasma Pod.[BR][BR]Launches sprays of unrestrained plasma at short range with a distinctive damage profile.
RipperNaniteCloud_Name,Ripper Nanite Cloud
RipperNaniteCloud_Dec,VTE Specialized Nanotech var. Ripper.[BR][BR]A dense grouping of nanites used to cause tear and cut at the external structure of a ship with a distinctive damage profile.
CausticWasteThrower_Name,Caustic Waste Thrower
CausticWasteThrower_Dec,Nurgit Weaponized Waste Recycler.[BR][BR]Releases a liquid-like compound of caustic waste that burns through a ship's hull with a distinctive damage profile.
HeatArray_Name,Heat Array
HeatArray_Dec,"Walther B-9 Energy Transfer System.[BR][BR]Focuses radiation that causes heat to build up on a target, which can warp a ship's structure with a distinctive damage profile."
NapalmInfusedPlasma_Name,Napalm Infused Plasma
NapalmInfusedPlasma_Dec,General Destruction Vacuum Resilient Napalm.[BR][BR]A mixture of plasma and napalm that produces a burning plasma that thrives in a vacuum and has a devastating and distinctive damage profile.
MassGravityDriver_Name,Mass Gravity Driver
MassGravityDriver_Dec,Copeland Industries Weaponized Mass Driver.[BR][BR]Launches magnetized projectiles at high speeds that warp gravity around them and have a distinctive damage profile.
PrototypeRailgun_Name,Prototype Railgun
PrototypeRailgun_Dec,Arsenal Prototype 117.[BR][BR]A variation of the Railgun that utilizes experimental (often unsafe) technology and ammunition with very poor accuracy which results in a distinctive damage profile.
CloseRangeTurrets_Name,Close-Range Turrets
CloseRangeTurrets_Dec,"General Destruction Self-Defense Turrets.[BR][BR]A series of hull-mounted turrets that can hammer a target's hull with a small caliber fire. They only work at incredibly close range and do very little damage, but they can give a ship an edge in a hectic fight."
LeadBarrier_Name,Lead Barrier
LeadBarrier_Dec,Greatly reduces the damage done by Nuclear weapons.
CoolingArmor_Name,Cooling Armor
CoolingArmor_Dec,Reduces the damage done by Super-Heated Plasma.
EMPShield_Name,EMP Shield
EMPShield_Dec,Prevents the damage done by Nanite attacks.
LayeredHullPlating_Name,Layered Hull Plating
LayeredHullPlating_Dec,Greatly reduces the damage done by Caustic weapons.
ReflectivePlating_Name,Reflective Plating
ReflectivePlating_Dec,Reduces the damage done by Heat.
ExternalFoamExtinguishers_Name,External Foam Extinguishers
ExternalFoamExtinguishers_Dec,Negates any damage done by Napalm.
GravityCorrector_Name,Gravity Corrector
GravityCorrector_Dec,Reduces the damage done by Mass projectiles.
HS_Accuracy_Desc,Accuracy is a rating of how likely a ship is to hit a target. Higher Accuracy scores make a ship more likely to hit its target with a given attack.
BattleComponent_Cooldown,[ICON=Cooldown_Stat_Icon] Cooldown
BattleComponent_Cooldown_Format,%d rounds
BattleComponent_DT,[ICON=Damage_Stat_Icon] Damage Threshold
BattleComponent_Effect,Effect
BattleComponent_Range,[ICON=Range_Stat_Icon] Range
BattleComponent_Range_Units, km
BattleComponent_PerBattle,[ICON=PerTurn_StatIcon] Uses Per Battle
BattleComponent_PerBattle_Once,Once
BattleComponent_PerBattle_Unlimited,Unlimited
BattleComponent_RaceTraitReq,[ICON=LeaderStat_Expectations_Icon] Target Trait
BattleComponent_AccuracyMod,Accuracy
BattleComponent_AttackMod,Attack
BattleComponent_EvasionMod,Evasion
BattleComponent_HitPointsMod,Hit Points
BattleComponent_ShieldsMod,Shields
BattleComponent_BeamDefense,Beam Def.
BattleComponent_KineticDefense,Kinetic Def.
BattleComponent_MissileDefense,Missile Def.
BattleComponent_BlockTargeting,Targetable
BattleComponent_BlockTargeting_Value,No
BattleComponent_DisableEvade,Evasion
BattleComponent_DisableEvade_Value,Disabled
BattleComponent_PauseWeaponCooldown,Cooldown
BattleComponent_PauseWeaponCooldown_Value,Paused
BattleComponent_Vampire,Vampirism
BattleComponent_Vampire_Value,Leeches health
BattleComponent_ApplyModifierToSelf,Self
BattleComponent_ApplyModifierToSelf_Format,%s
BattleComponent_ApplyModifierToSelfTeam,Team
BattleComponent_ApplyModifierToSelfTeam_Format,%s for Team
BattleComponent_ApplyModifierToSelfTeamOthers,Teammates
BattleComponent_ApplyModifierToSelfTeamOthers_Format,%s for Teammates
BattleComponent_ApplyModifierToTarget,Enemy
BattleComponent_ApplyModifierToTarget_Format,%s for Enemy
BattleComponent_ApplyModifierToTargetTeam,Enemy Team
BattleComponent_ApplyModifierToTargetTeam_Format,%s for Enemy Team
BattleComponent_ApplyModifierToAll,All Combatants
BattleComponent_ApplyModifierToAll_Format,%s for All Combatants
BattleComponent_Duration,[ICON=Duration_Stat_Icon] Duration
BattleComponent_DurationFormat,%s rounds
BattleComponent_DurationInfinite,Infinite
BattleComponent_ShieldBubble_Value_Format,Up to {VALUE} of Host
BattleComponent_Target,[ICON=BattleComponentTarget_StatIcon] Target
BattleComponent_Tooltip_Effects,Battle Modifiers
BattleComponent_Tooltip_Target,Target
BattleComponent_Tooltip_Targets,Targets
GluonDisintegrator_Name,Gluon Disintegrator
GluonDisintegrator_Dec,"Astrotech M-8 ""Anti-Cohesion"" Gluon Beam Emitter.[BR][BR]A highly advanced beam weapon that unravels molecular bonds using targeted gluon disturbances. [HS=HS_BeamWeapon]Beam weapons[/HS] provide moderate damage at a reasonable manufacturing cost."
GluonCapacitation_Name,Gluon Capacitation
GluonCapacitation_Dec,"Astrotech M-8o ""Anti-Cohesion"" Gluon Beam Emitter.[BR][BR]Enhances beam weapons by increasing their gluon energy storage and discharge capacity. [HS=HS_BeamWeapon]Beam weapons[/HS] provide moderate damage at a reasonable manufacturing cost."
DisruptorPulseArray_Name,Disruptor Pulse Array
DisruptorPulseArray_Dec,Walther Va-2 Disruptor Unit[BR][BR]A weapon system that emits powerful pulses capable of disrupting atomic and subatomic structures. [HS=HS_BeamWeapon]Beam weapons[/HS] provide moderate damage at a reasonable manufacturing cost.
Phasors_Name,Phasors
Phasors_Dec,Westinghouse P5KA4 advanced phased energy weapon system.[BR][BR]High-intensity energy beams with precise targeting. [HS=HS_BeamWeapon]Beam weapons[/HS] provide moderate damage at a reasonable manufacturing cost.
EnhancedPhasors_Name,Enhanced Phasors
EnhancedPhasors_Dec,Westinghouse P5KA4 mk2 advanced phased energy weapon system.[BR][BR]Advanced phasors with improved beam intensity and efficiency. [HS=HS_BeamWeapon]Beam weapons[/HS] provide moderate damage at a reasonable manufacturing cost.
CoilAcceleratorArray_Name,Coil Accelerator Array
CoilAcceleratorArray_Dec,Arsenal Mk XIX rapid-fire railgun.[BR][BR]Rapid-fire kinetic weapon that accelerates projectiles to high velocities. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost.
NeutoniumPiercerManifest_Name,Neutonium Piercer Manifest
NeutoniumPiercerManifest_Dec,General Destruction Neutonium Piercer Mk I.[BR][BR]Utilizes dense neutronium to pierce through the toughest armors. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost.
NeutroniumEmitterCannons_Name,Neutronium Emitter Cannons
NeutroniumEmitterCannons_Dec,General Destruction Neutronium Cannon Mk I.[BR][BR]Emits high-density neutronium projectiles for massive kinetic impact. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost.
EnhancedNeutroniumCannon_Name,Enhanced Neutronium Cannon
EnhancedNeutroniumCannon_Dec,General Destruction Neutronium Cannon Mk I.[BR][BR]Advanced cannon that maximizes neutronium projectile effectiveness and speed. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost.
GravitonVortexArray_Name,Graviton Vortex Array
GravitonVortexArray_Dec,"Copeland Industries ""Vortex"" Array.[BR][BR]Generates a controlled graviton field to create destructive vortexes. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost."
EnhancedGravitonVortexArray_Name,Enhanced Graviton Vortex Array
EnhancedGravitonVortexArray_Dec,"Copeland Industries Enhanced ""Vortex"" Array.[BR][BR]Amplifies graviton vortex generation for increased kinetic impact. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost."
QuantumCatapult_Name,Quantum Catapult
QuantumCatapult_Dec,"Meridoc ""Quantum"" Catapult MK-IV.[BR][BR]Utilizes quantum mechanics to launch projectiles with unparalleled velocity and impact. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost."
HiggsFieldCrusher_Name,Higgs Field Crusher
HiggsFieldCrusher_Dec,Meridoc Higgs Field Manipulator.[BR][BR]Disrupts the Higgs field to momentarily increase target mass and induce catastrophic collapse. [HS=HS_KineticWeapon]Kinetic Weapons[/HS] combine high damage with a high Manufacturing cost.
Missile_CerberusWarheads_Name,Cerberus Warheads
Missile_CerberusWarheads_Dec,"Sandrala ""Cerberus"" Complex Missile.[BR][BR]Missiles with complex multi-layered warheads capable of inflicting cascading damage.[HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
Missile_LeviathanTorpedoes_Name,Leviathan Torpedoes
Missile_LeviathanTorpedoes_Dec,"Sandrala ""Leviathan"" Medium Torpedo.[BR][BR]The Leviathan torpedo uses a shaped antimatter warhead and delivery system to devastate the enemy. [HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
Missile_FuriousLeviathanTorpedoes_Name,Furious Leviathan Torpedoes
Missile_FuriousLeviathanTorpedoes_Dec,"Sandrala ""Furious Leviathan"" Medium HE Torpedo.[BR][BR]The Leviathan Torpedo upgraded with weight redistributed to deliver High Explosive antimatter variant warheads. [HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
Missile_IcarionMissileCluster_Name,Icarion Missile Cluster
Missile_IcarionMissileCluster_Dec,"Raytheonix ""Icarion"" Cluster Missile System.[BR][BR]The Icarion missile system uses volleys of antimatter-infused missiles to spread the damage across the enemy's hull. [HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
Missile_OrionsSpear_Name,Orion's Spear
Missile_OrionsSpear_Dec,"The ""Orion's Spear"" Missile Deployment System.[BR][BR]The Orion's Spear system is a devastating single-target missile launcher that utilizes antimatter to shatter through enemy defenses. [HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
Missile_TritonsRevenge_Name,Triton's Revenge
Missile_TritonsRevenge_Dec,"GH-32 specialized.[BR][BR]Built upon the original Triton Torpedo design, Triton's Revenge uses antimatter and increased missile guidance to better focus its damage. [HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
Missile_KleinsDread_Name,Klein's Dread
Missile_KleinsDread_Dec,"Raytheonix Mk 65 ""Dread"" Torpedos[BR][BR]Klein's Dread torpedos strain against the fabric of space-time to quickly deliver destruction to the enemy. [HS=HS_MissileWeapon]Missile weapons[/HS] are slightly weaker in battle but can be used to attack enemy fleets at range."
PresetCategory_Corvette_Name,Corvette
PresetCategory_Corvette_Dec,Corvette Category ships are Small Hull vessels that have increased [HS=HS_HitPoints]Hit Points[/HS].
PresetCategory_Destroyer_Name,Destroyer
PresetCategory_Destroyer_Dec,Destroyer Category ships are Medium Hull vessels that have decreased [HS=HS_WeaponCooldown]Weapon Cooldown[/HS].
PresetCategory_Command_Name,Command Ship
PresetCategory_Command_Dec,Command Category ships are Large Hull vessels that decrease the [HS=HS_WeaponCooldown]Weapon Cooldown[/HS] of all ships in their fleet but have reduced [HS=HS_HitPoints]Hit Points[/HS].
PresetCategory_Carrier_Name,Carrier
PresetCategory_Carrier_Dec,Carrier Category ships are Huge Hull vessels that bring additional [HS=HS_FighterCategory]Fighters[/HS] and [HS=HS_BomberCategory]Bombers[/HS] into Battles.
NEW_DESIGN_SPECS_LABEL_Corvette,Small combat ship
NEW_DESIGN_BENEFITS_LABEL_Corvette,+25% [HS=HS_HitPoints]Hit Points[/HS]
NEW_DESIGN_SPECS_LABEL_Destroyer,Medium combat ship
NEW_DESIGN_BENEFITS_LABEL_Destroyer,-10% [HS=HS_WeaponCooldown]Weapon Cooldown[/HS]
NEW_DESIGN_SPECS_LABEL_Command,Large capital combat ship
NEW_DESIGN_BENEFITS_LABEL_Command,"-10% [HS=HS_WeaponCooldown]Weapon Cooldown[/HS] Allies in Fleet, -50% [HS=HS_HitPoints]Hit Points[/HS]"
NEW_DESIGN_SPECS_LABEL_Carrier,Huge capital combat ship
NEW_DESIGN_BENEFITS_LABEL_Carrier,Carries Additional [HS=HS_FighterCategory]Fighters[/HS] and [HS=HS_BomberCategory]Bombers[/HS] into Battles
BattleBehavior_Corvette_Name,Corvette
TargetingRuleType_Retaliatory,Attacks only when attacked first
AttackOrder_Legacy_Name,Legacy
AttackOrder_DreadnoughtFirst_Name,Largest Combatants
AttackOrder_AttackersFirst_Name,Frontline Combatants
AttackOrder_AttackClosest_Name,Attack Closest
Doctrine_Assault_Name,Assault
Doctrine_Screener_Name,Screener
OperationalAbility_Ace_Desc,+75% Accuracy Against Fighters
OperationalAbility_Assassin_Desc,"+50% Attack, +25% [HS=HS_WeaponCooldown]Weapon Cooldown[/HS]"
OperationalAbility_Barrage_Desc,-25% [HS=HS_WeaponCooldown]Weapon Cooldown[/HS]
OperationalAbility_Blitz_Desc,+50% Tactical Speed
OperationalAbility_Command_Desc,"Allies +10% Accuracy, -25% [HS=HS_HitPoints]Hit Points[/HS]"
OperationalAbility_Defender_Desc,+50% Accuracy Against [HS=HS_FighterCategory]Fighters[/HS] and [HS=HS_BomberCategory]Bombers[/HS]
OperationalAbility_FocusFire_Desc,+10% Attack
OperationalAbility_Fortress_Desc,"+100% [HS=HS_HitPoints]Hit Points[/HS], -75% Tactical Speed"
OperationalAbility_GiantSlayer_Desc,+50% Attack Against Large and Huge [HS=HS_HullSize]Hull[/HS] Ships
OperationalAbility_Ghost_Desc,+25% [HS=HS_PointDefense]Evasion[/HS]
OperationalAbility_Hunter_Desc,+25% Attack and +25% Accuracy Against [HS=HS_FrigateCategory]Frigates[/HS] and [HS=HS_CorvetteCategory]Corvettes[/HS]
OperationalAbility_LongReach_Desc,+25% Weapon Range
OperationalAbility_Noncombatant_Desc,Self-defense only
OperationalAbility_Precision_Desc,+25% Accuracy
OperationalAbility_Skirmisher_Desc,"-75% [HS=HS_WeaponCooldown]Weapon Cooldown[/HS], -25% Weapon Range"
OperationalAbility_Sniper_Desc,+50% Accuracy
OperationalAbility_Taunt_Desc,"Always hit first, -90% HP Cap"
OperationalAbility_Opportunist_Name,Opportunist
OperationalAbility_Opportunist_Desc,Recharge on kill
OperationalAbility_None_Name,None
OperationalAbility_None_Desc,Empty
OperationalAbility_Assault_Name,Assault
OperationalAbility_Assault_Desc,-50% [HS=HS_WeaponCooldown]Weapon Cooldown[/HS]
OperationalAbility_Rush_Name,Rush
OperationalAbility_Rush_Desc,+25% Tactical Speed
OperationalAbility_Sentinel_Name,Sentinel
OperationalAbility_Sentinel_Desc,+75% Attack Against [HS=HS_BomberCategory]Bombers[/HS]
STATNAME_IsCommand,[ICON=CanSurveyIcon] Command
STATNAME_IsCorvette,[ICON=CanSurveyIcon] Corvette
STATNAME_IsDestroyer,[ICON=CanSurveyIcon] Destroyer
STATNAME_IsCarrier,[ICON=CanSurveyIcon] Carrier
STATNAME_BattleRating_SpecComp,[ICON=CombatRatingIcon] Specialized Attack
STATDESC_BattleRating_SpecComp,The combat rating of components with unique and specialized offensive capabilities.
STATNAME_BattleRating_DefOnly,[ICON=CombatRatingIcon] Specialized Defense
STATDESC_BattleRating_DefOnly,"Combination of weapon power, fire rates, ranges, defense capabilities, and hit point capacity, indicating general battle effectiveness.[BR][BR]This variant of the modifier only applied when weapons are present."
STATNAME_WarWeariness,War Weariness
STATDESC_WarWeariness,Your citizens grow weary of being at war for so long.
STATNAME_AssaultAttack,Assault Attack Troops
STATDESC_AssaultAttack,A measure of how many assault troops are available. Assault troops are used to take over vessels. Assault Attack Troops can be countered with Assault Defense Troops.
STATNAME_AssaultDefense,Assault Defense Troops
STATDESC_AssaultDefense,"A measure of how many defense troops are available. Defense troops defend vessels from boarding actions, preventing ships from being taken over. Assault Defense Troops are used to counter Assault Attack Troops."
STATNAME_AssaultRange,Assault Range
STATDESC_AssaultRange,The effective range of assault shuttles. The Assault Range is how far assault shuttles can travel to another ship to initiate a boarding action.
TestEvent_WarAim_Underdog_Name,Underdog
TestEvent_WarAim_Underdog_Dec,"You are losing the war, but a band of privateers think that you have a good cause and have offered to help.  What do you ask them for?"
TestEvent_WarAim_Underdog_1_Name,A combat ship.
TestEvent_WarAim_Underdog_1_Dec,+1 combat ship
TestEvent_WarAim_Underdog_2_Name,Money
TestEvent_WarAim_Underdog_2_Dec,+500 credits
FocusWeaponsTooltip,Focus on Weapons
FocusDefenseTooltip,Focus on Defense
FocusConquestTooltip,Focus on Conquest
BATTLE_LOG_TOOLTIP_ATTACK_BASE_LABEL,Base
BATTLE_LOG_TOOLTIP_ATTACK_MOD_LABEL,Battle Modifiers
BATTLE_LOG_TOOLTIP_DEFENSE_MOD_LABEL,Defense
BATTLE_LOG_TOOLTIP_ATTACK_POTENTIAL_LABEL,Potential
RESEARCH_DEFENSE_LABEL,Defense
RESEARCH_CONQUEST_LABEL,Logistics
INVASION_TACTIC_UNLOCKED_LABEL,%s
BUILD_FREIGHTER_LABEL,Construct a freighter and send it to an ally's planet to establish a trade route.
SHIP_DESIGNER_CATEGORY_AssaultAttack,Assault Attack
SHIP_DESIGNER_CATEGORY_AssaultDefense,Assault Defense
ALERT_BesiegedPlanet_Invading,Our siege of {PLANETNAME} will complete in {AMOUNT} months.
ALERT_SiegeInterrupted,The siege of {PLANETNAME} has been interrupted!
OPERATIONAL_ABILITY_UNLOCKED_LABEL,%s Operational Ability
FLEETTOOLTIP_COMPONENT_ABILITIES_LIST,Special Components:
RequiredStat_CanInvade,Transport required
TradeButtonTooltip,Trade Routes[BR][COLOR=UIDefaultHot]View your civilization's trade routes.[/COLOR]
TRIGGERDURATION_FOR_X_TURNS_REMAINING, for %d more Months
TRIGGERDURATION_LAST_TURN, (last month)
TechnologyLibraryFilter_Weapons,Weapon Focus techs
TechnologyLibraryFilter_Defense,Defense Focus techs
TechnologyLibraryFilter_Conquest,Conquest Focus techs
SuperNova_MAINGAME_NEED_TECH_FORMAT,[B]Trade Routes[/B][BR][COLOR=BrightRed]Requires %s.[/COLOR]
SuperNova_NOTRADEROUTES,[B]Trade Routes[/B][BR][COLOR=BrightRed]You don't have any trade routes.[/COLOR]
InvasionPlanetaryDefenseTitle,Planetary Defense:
InvasionConquestRatingTitle,Conquest Rating:
InvasionAttackingForceTitle,Attacking Force
InvasionDefendingForceTitle,Defending Force
InvasionDefendingCitizensTitle,Defending Citizens
InvasionDefensiveSystemsTitle,Defensive Systems
InvasionEstimatedDurationTitle,Estimated Duration:
InvasionCasualtiesSystemsTitle,Casualties:
InvasionPlanetaryDamageSystemsTitle,Planetary Damage:
InvasionEfficiencySystemsTitle,Efficiency:
MOD_SOURCE_CATEGORY_INVASIONTACTIC,Invasion Tactic
InvasionReportCaptureTitle,Date Captured:
BeamAccuracyLabel,Beam Accuracy
InvasionReportTakenTitle,Taken From:
MissileAccuracyLabel,Missile Accuracy
InvasionReportTacticUsedTitle,Tactic Used:
KineticAccuracyLabel,Kinetic Accuracy
InvasionReportEffectsTitle,Invasion Effects
InvasionReportTileDamageTitle,Planetary Tile Damage
InvasionReportScreenTitle,Capture of Planet Name
InvasionReportRaceNameTitle,Race Name
InvasionReportDateTitle,Date
InvasionReportTacticNameTitle,Tactic Name
BattleComponentText_IonGun_Start,IonGun Start
BattleComponentText_IonGun_End,IonGun End
BattleComponentText_TimeDilator_Start,TimeDilator Start
BattleComponentText_TimeDilator_End,TimeDilator End
BattleComponentText_CloakingDevice_Start,CloakingDevice Start
BattleComponentText_CloakingDevice_End,CloakingDevice End
BattleComponentText_NeutronScrambler_Start,Neutron Scrambler Start
BattleComponentText_NeutronScrambler_End,Neutron Scrambler End
BattleComponentText_TheronRay_Start,Theron Ray Start
BattleComponentText_TheronRay_End,Theron Ray End
BattleComponentText_ShatteringPulse_Start,Shattering Pulse Start
BattleComponentText_ShatteringPulse_End,Shattering Pulse End
BattleComponentText_UVField_Start,UV Field Start
BattleComponentText_UVField_End,UV Field End
BattleComponentText_VampireModule_Start,VampireModule Start
BattleComponentText_VampireModule_End,VampireModule End
BattleComponentText_ShieldBubble_Start,Shield Bubble Start
BattleComponentText_ShieldBubble_End,Shield Bubble End
BattleComponentText_RepairNaniteCloud_Start,Repair Nanite Cloud Start
BattleComponentText_RepairNaniteCloud_End,Repair Nanite Cloud End
BattleComponentWeapon_Nuclear,Nuclear
BattleComponentWeapon_Plasma,Super-Heated Plasma
BattleComponentWeapon_RipNanite,Nanite
BattleComponentWeapon_Caustic,Caustic
BattleComponentWeapon_Heat,Heat
BattleComponentWeapon_Napalm,Napalm
BattleComponentWeapon_Mass,Mass
BattleComponentWeapon_PROTORAIL,Prototype Rail Projectile
BattleComponentWeapon_SMALLCALIBER,Small Caliber
BV_BattleModifiersHeader,Battle Modifiers
BV_AttackBreakdown,Attack Breakdown
BV_DefenseBreakdown,Defense Breakdown
BV_CooldownPaused,-
BV_AccuracyBreakdown,Accuracy Breakdown
BV_HitPointsMod_TacticalRepair,Tactical Repair
BV_HitPointsMod_Vampire,Vampire
BV_StartingHitPoints,Start
BV_DamageReduction,Damage Resistance
BV_BeamDamageReduction,Beam Damage Resistance
BV_MissileDamageReduction,Missile Damage Resistance
BV_KineticDamageReduction,Kinetic Damage Resistance
BV_AssaultTakenOver,Captured!
BV_AssaultTroops,Assault Troops
BV_AssaultAttackTooltipHeader,Assault Attack
BV_DefendingAssaultTroops,Defending Troops
BV_AssaultTroopsDefeated,Defending Troops Defeated
BV_DefendingAssaultTroopsRemaining,Defending Troops Remaining
BV_BlockTargeting,Cannot Be Targeted
Commands_Screen_Title,Fleet Wide Commands
Commands_Shipyard_Building_String,“All [COLOR=Red]Shipyards[/COLOR] building [COLOR=UIDefaultHighlight] {OBJECTNAME:1} [/COLOR] should build [COLOR=Green]{OBJECTNAME:2}[/COLOR].”
Commands_Shipyard_Sending_Build_String,“All [COLOR=Red]Shipyards[/COLOR] sending to [COLOR=UIDefaultHighlight] {OBJECTNAME:1} [/COLOR] should build [COLOR=Green]{OBJECTNAME:2}[/COLOR].”
Commands_Shipyard_Sending_Go_String,“All [COLOR=Red]Shipyards[/COLOR] sending to [COLOR=UIDefaultHighlight] {OBJECTNAME:1} [/COLOR] should send to [COLOR=Green]{OBJECTNAME:2}[/COLOR].”
Commands_Ships_Of_Type_String,“All [COLOR=Red]Ships[/COLOR] of type [COLOR=UIDefaultHighlight]{OBJECTNAME:1}[/COLOR] should go to [COLOR=Green]{OBJECTNAME:2}[/COLOR].”
Commands_Ships_Go_String,“All [COLOR=Red]Ships[/COLOR] going to [COLOR=UIDefaultHighlight]{OBJECTNAME:1}[/COLOR] should go to [COLOR=Green]{OBJECTNAME:2}[/COLOR].”
Commands_Fleet_String,“All [COLOR=Red]Fleets[/COLOR] going to [COLOR=UIDefaultHighlight]{OBJECTNAME:1}[/COLOR] should go to [COLOR=Green]{OBJECTNAME:2}[/COLOR].”
Commmands_No_Command,...
Commands_Re-Assign_Value,Building with a Destination...
Commands_Title,Command
Commands_Tip_Dec,Give civilization wide commands to to your Shipyards and Fleets
Give_Command_Value,Give Command
Policy_Trade_Button,Trade Route Breakdown
Policy_Commands_Button,Fleet Wide Commands
ADoctrine_Screen_Title,Edit Class
NewClassLabel,New Ship Class
Doctrine_Title,Edit Class
Doctrine_Dec,The Class of your ship will determine its behavior in battle. New options can be Learned though Research and Ideology.
Doctrine_Operational_Abilities_Title_1,Operational Ability 1
Doctrine_Choose_Title,Choose 1
Doctrine_Operational_Abilities_Title_2,Operational Ability 2
Doctrine_Targeting_Order_Title,Targeting Priority
Doctrine_Detials_Title,New Combat Doctrine
Doctrine_Detials_Dec,"Operational Abilities and Targeting Priorities can change a ship's behavior in combat, with different combinations resulting in noticeably different tactics."
Doctrine_Set_Button,Save Class
Doctrine_Ship_Title,Doctrine
Doctrine_Set_Bonus,Ability Bonus Description
Doctrine_Ship_Type_Title,Operational Ability
Doctrine_Operational_Abilities_Title,Operational Ability
Doctrine_Set_Order_Temp,[ICON=Priorities_Arrow_1] Capital Ships [ICON=Priorities_Arrow_2] Cruisers [ICON=Priorities_Arrow_3] Fighters
ClassCategoryTitle,Category
ClassTypeTitle,Class Type
Combat_Class_Title,Combatant
Specialty_Class_Title,Specialty
ClassChoose1Title,Choose 1
EDITCLASSBUTTONLABEL,Edit Class
CREATECLASSBUTTONLABEL,Create New Class
SAVE_BATTLE_CLASS_LABEL,Save Class
Operational_Abilities_Name_Title,Operational Ability Name
Targeting_Priority_Title_Title,Targeting Priority Name
Operational_Abilities_Matchup_Format,Against {TARGET}:
Operational_Abilities_Matchup_WithinText_Format,Against {TARGET}s
Operational_Abilities_Matchup_All,Against All:
EDIT_BATTLE_CLASS_DISABLED_DLC_REQUIRED,Editing Class requires Warlords DLC.
EDIT_BATTLE_CLASS_DISABLED_OVERRIDE_DEFAULTS,Overrides of default Classes do not persist between games but can be edited in game.
NEW_BATTLE_CLASS_DISABLED_DLC_REQUIRED,Creating a new Class requires Warlords DLC.
EDIT_BATTLE_CLASS_DISABLED_UNDECLARED,Undeclared Class cannot be edited.
FILTER_ALL_BATTLE_CLASES_LABEL,All Classes
Population_ReservedUnits_Tooltip_Singular,{VALUE} citizen in transit to this planet.
GrowthAndPopulationToolTip_CitizensInTransit,Citizens in transit:
TradeIncomeTitle,Trade Value:
TradeLicensesTitle,Trade Licenses:
TotalTradeIncomeTitle,Total Trade Income Per Turn: 
TradeScreenText,Galactic Trade can greatly contribute to your economy and help you build diplomatic relationships with your neighbors.
TradeRoute_Planet_To_Planet_Label,{PLANETNAME:1} to {PLANETNAME:2}
WarAims_Months_At_War,[ICON=Turn_Icon] Months at War
DiplomaticMod_AggressiveNeighbor_HSDesc,A minor reputation gained by declaring a War of Defense that affects [HS=HS_Diplomacy]Diplomacy[/HS].[BR][BR][COLOR=UIDefaultHighlight]-1 Diplomacy with all Civilizations[/COLOR]
DiplomaticMod_DangerousNeighbor_HSDesc,A reputation gained by declaring a War of Expansion that affects [HS=HS_Diplomacy]Diplomacy[/HS].[BR][BR][COLOR=UIDefaultHighlight]-2 Diplomacy with all Civilizations[/COLOR]
